日期,软件,使用时间,新增使用时间
11月8日,微信,69,0
11月9日,微信,133,64
11月10日,微信,177,44
11月11日,微信,278,101
11月12日,微信,392,113
11月13日,微信,520,128
11月14日,微信,611,91
11月15日,微信,706,95
11月16日,微信,839,133
11月17日,微信,883,44
11月18日,微信,988,105
11月19日,微信,1065,77
11月20日,微信,1176,111
11月21日,微信,1187,11
11月22日,微信,1225,38
11月23日,微信,1344,119
11月24日,微信,1413,69
11月25日,微信,1535,122
11月26日,微信,1587,52
11月27日,微信,1668,81
11月28日,微信,1717,49
11月29日,微信,1838,121
11月30日,微信,1888,50
12月1日,微信,1950,62
12月2日,微信,2051,101
12月3日,微信,2128,77
12月4日,微信,2208,80
12月5日,微信,2271,63
12月6日,微信,2367,96
12月7日,微信,2440,73
11月8日,抖音,58,0
11月9日,抖音,132,74
11月10日,抖音,143,11
11月11日,抖音,156,13
11月12日,抖音,177,21
11月13日,抖音,203,26
11月14日,抖音,227,24
11月15日,抖音,263,36
11月16日,抖音,267,4
11月17日,抖音,274,7
11月18日,抖音,304,30
11月19日,抖音,304,0
11月20日,抖音,394,90
11月21日,抖音,437,43
11月22日,抖音,527,90
11月23日,抖音,560,33
11月24日,抖音,589,29
11月25日,抖音,615,26
11月26日,抖音,637,22
11月27日,抖音,673,36
11月28日,抖音,688,15
11月29日,抖音,789,101
11月30日,抖音,811,22
12月1日,抖音,825,14
12月2日,抖音,856,31
12月3日,抖音,885,29
12月4日,抖音,919,34
12月5日,抖音,974,55
12月6日,抖音,1022,48
12月7日,抖音,1107,85
11月8日,微博,37,0
11月9日,微博,70,33
11月10日,微博,100,30
11月11日,微博,129,29
11月12日,微博,162,33
11月13日,微博,189,27
11月14日,微博,216,27
11月15日,微博,246,30
11月16日,微博,305,59
11月17日,微博,373,68
11月18日,微博,454,81
11月19日,微博,496,42
11月20日,微博,556,60
11月21日,微博,576,20
11月22日,微博,613,37
11月23日,微博,642,29
11月24日,微博,665,23
11月25日,微博,701,36
11月26日,微博,730,29
11月27日,微博,757,27
11月28日,微博,775,18
11月29日,微博,811,36
11月30日,微博,839,28
12月1日,微博,853,14
12月2日,微博,908,55
12月3日,微博,958,50
12月4日,微博,977,19
12月5日,微博,1079,102
12月6日,微博,1111,32
12月7日,微博,1143,32
11月8日,QQ,4,0
11月9日,QQ,17,13
11月10日,QQ,25,8
11月11日,QQ,33,8
11月12日,QQ,36,3
11月13日,QQ,38,2
11月14日,QQ,44,6
11月15日,QQ,47,3
11月16日,QQ,55,8
11月17日,QQ,68,13
11月18日,QQ,71,3
11月19日,QQ,74,3
11月20日,QQ,79,5
11月21日,QQ,80,1
11月22日,QQ,82,2
11月23日,QQ,97,15
11月24日,QQ,104,7
11月25日,QQ,106,2
11月26日,QQ,112,6
11月27日,QQ,139,27
11月28日,QQ,144,5
11月29日,QQ,150,6
11月30日,QQ,157,7
12月1日,QQ,160,3
12月2日,QQ,170,10
12月3日,QQ,175,5
12月4日,QQ,180,5
12月5日,QQ,185,5
12月6日,QQ,192,7
12月7日,QQ,202,10
11月8日,虎牙,13,0
11月9日,虎牙,13,0
11月10日,虎牙,13,0
11月11日,虎牙,90,77
11月12日,虎牙,204,114
11月13日,虎牙,302,98
11月14日,虎牙,321,19
11月15日,虎牙,353,32
11月16日,虎牙,353,0
11月17日,虎牙,353,0
11月18日,虎牙,353,0
11月19日,虎牙,353,0
11月20日,虎牙,366,13
11月21日,虎牙,400,34
11月22日,虎牙,400,0
11月23日,虎牙,449,49
11月24日,虎牙,453,4
11月25日,虎牙,453,0
11月26日,虎牙,453,0
11月27日,虎牙,468,15
11月28日,虎牙,492,24
11月29日,虎牙,496,4
11月30日,虎牙,496,0
12月1日,虎牙,498,2
12月2日,虎牙,498,0
12月3日,虎牙,502,4
12月4日,虎牙,512,10
12月5日,虎牙,518,6
12月6日,虎牙,518,0
12月7日,虎牙,518,0
11月8日,腾讯视频,0,0
11月9日,腾讯视频,0,0
11月10日,腾讯视频,6,6
11月11日,腾讯视频,14,8
11月12日,腾讯视频,14,0
11月13日,腾讯视频,14,0
11月14日,腾讯视频,14,0
11月15日,腾讯视频,14,0
11月16日,腾讯视频,14,0
11月17日,腾讯视频,14,0
11月18日,腾讯视频,14,0
11月19日,腾讯视频,14,0
11月20日,腾讯视频,14,0
11月21日,腾讯视频,83,69
11月22日,腾讯视频,83,0
11月23日,腾讯视频,83,0
11月24日,腾讯视频,83,0
11月25日,腾讯视频,83,0
11月26日,腾讯视频,83,0
11月27日,腾讯视频,83,0
11月28日,腾讯视频,83,0
11月29日,腾讯视频,85,2
11月30日,腾讯视频,85,0
12月1日,腾讯视频,85,0
12月2日,腾讯视频,85,0
12月3日,腾讯视频,157,72
12月4日,腾讯视频,158,1
12月5日,腾讯视频,158,0
12月6日,腾讯视频,158,0
12月7日,腾讯视频,158,0
11月8日,bilibili,64,0
11月9日,bilibili,91,27
11月10日,bilibili,91,0
11月11日,bilibili,91,0
11月12日,bilibili,91,0
11月13日,bilibili,157,66
11月14日,bilibili,197,40
11月15日,bilibili,341,144
11月16日,bilibili,404,63
11月17日,bilibili,405,1
11月18日,bilibili,451,46
11月19日,bilibili,473,22
11月20日,bilibili,572,99
11月21日,bilibili,595,23
11月22日,bilibili,621,26
11月23日,bilibili,785,164
11月24日,bilibili,902,117
11月25日,bilibili,902,0
11月26日,bilibili,925,23
11月27日,bilibili,992,67
11月28日,bilibili,1094,102
11月29日,bilibili,1185,91
11月30日,bilibili,1223,38
12月1日,bilibili,1317,94
12月2日,bilibili,1339,22
12月3日,bilibili,1381,42
12月4日,bilibili,1513,132
12月5日,bilibili,1524,11
12月6日,bilibili,1546,22
12月7日,bilibili,1599,53
